, Brand , Model Name , Screen Size , Colour , Hard Disk Size , CPU Model , RAM Memory Installed Size , Operating System , Special Feature , Graphics Card Description ,Price, Graphics Coprocessor , CPU Speed , Hard Disk Description , Item Weight , Connectivity Technology , Graphics Processor Manufacturer , Resolution , Total USB Ports , Processor Count , CPU Manufacturer , Human Interface Input , Form Factor 
38, Lenovo , Lenovo IdeaPad-cr , 14 Inches ,, 500 GB , Core i5 Family , 8 GB , Windows 11 ," Webcam, Light Weight, Thin ", Integrated ,"₹16,999.00", Intel HD Graphics 520 ,,,,,,,,,,,
39, HP , 15s-du3614TU , 15.6 Inches , Jet Black , 1 TB , Core i3 , 8 GB , Windows 11 Home ," Fast Charging, Numeric Keypad ", Integrated ,"₹40,990.00",,,,,,,,,,,,
40, HP , HP 255 G8 Notebook , 39.6 Centimetres , Dark Ash Silver , 512 GB , Ryzen 3 , 8 GB , Windows 11 Pro ," Anti-glare Display, Narrow bazel, HD, Numeric Keypad ", Integrated ,"₹31,990.00",,,,,,,,,,,,
41, Lenovo , Lenovo Thinkpad L450-cr , 14 Inches ,, 1 TB , Intel Core i5 , 16 GB , Windows 11 ," Webcam, Light Weight, Thin ", Integrated ,"₹22,937.00", Intel HD Graphics 520 ,,,,,,,,,,,
42, Dell , 3380-cr , 13.3 Inches , Grey , 512 GB , Core i5 Family , 16 GB , Windows 10 Pro , Thin , Integrated ,"₹20,999.00",,,,,,,,,,,,
43, ASUS , ASUS Vivobook 15 , 15.6 Inches , Quiet Blue , 512 GB , Core i5 , 16 GB , Windows 11 Home , Backlit Keyboard , Integrated ,"₹56,990.00",,,,,,,,,,,,
44, HP , HP Pavilion , 14 Inches , Silver Touch screen , 512 GB , Core i5 , 16 GB , Windows 11 Home ," Full HD, Micro-Edge Display ", Integrated ,"₹67,997.00",,,,,,,,,,,,
45, HP , 14s- fy1003AU , 15.6 Inches , Natural Silver , 512 GB , AMD Ryzen 5 5500U , 16 GB , Windows 11 Home ," Full HD, Micro-Edge Display ", Integrated ,"₹48,990.00",,,,,,,,,,,,
46, ASUS , ASUS Vivobook 15 , 15.6 Inches , Icelight Silver , 512 GB , Core i5 , 16 GB , Windows 11 Home , Backlit Keyboard , Integrated ,"₹56,990.00",,,,,,,,,,,,
47, Lenovo , Lenovo V15 G3 IAP , 15.6 Inches , Iron Grey , 512 GB , Core i3-1215U , 8 GB , Windows 11 Home ," Portable, Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹38,490.00",,,,,,,,,,,,
