,Brand,Price,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Operating System,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty
231,ASUS Vivobook S 14 Intel EVO H-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY541WS Thin and Light Laptop Rs.86990  Price in India - Buy ASUS Vivobook S 14 Intel EVO H-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY541WS Thin and Light Laptop Neutral Grey Online - ASUS : Flipkart.com,59990,"Laptop, battery, power adapter, user guide",S3402ZA-LY541WS,90NB0WE1-M00P80,S3402ZA-LY541WS,Vivobook S 14 Intel EVO H-Series,Neutral Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,12500H,2.5 GHz with Max Turbo Boost Frequency Up to 4.50 GHz,Intel Integrated Iris Xe,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 2 x Thunderbolt 4 supports display / power delivery",No,35.56 cm (14 Inch),1920 x 1200 Pixel,"WUXGA, 16:10 aspect ratio, LED Backlit, IPS-level Panel, 60Hz refresh rate, 300nits, 45% NTSC color gamut, Anti-glare display",Built-in Speakers,Yes,Wi-Fi 6E(802.11ax) (Dual band) 2*2,v5.0,316.4 x 224.5 x 18.9 mm,1.50 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
232,Acer Aspire 7 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-5G/ A715-51G Gaming Laptop Rs.85999  Price in India - Buy Acer Aspire 7 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-5G/ A715-51G Gaming Laptop Black Online - Acer : Flipkart.com,58990,"Laptop, Power Adaptor, Quick Start Guide, Warranty Document",A715-5G/ A715-51G,NH.QGBSI.007|UN.QGBSI.010,Aspire 7 Gaming,Aspire 7,Black,Gaming Laptop,Gaming,No,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1240P,Base Frequency 3.30 GHz with Max Tubro Frequency Upto 4.40 GHz,NVIDIA GeForce GTX 1650,Windows 11 Home,"3 x USB 3.2 Port (1 with Power Off Charging), 1 x USB Type-C port/Thunderbolt 4 port",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, Acer ComfyView LED-backlit TFT LCD with IPS Technology",Built-in Dual Stereo Speaker,Built-in Digital Microphone,"802.11a/b/g/n+ax Wireless LAN, Wi-Fi M.2 (NGFF) 2230 PCI-E Interface",v5.2,362.3 x 237.4 x 19.9 mm,2.1 kg,Not Available,"T-Type HD Camera with 1280 x 720 Resolution, 720p HD Video at 30 fps with Temporal Noise Reduction",Backlit Keyboard,Yes,1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage
233,DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop Rs.72180  Price in India - Buy DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop Carbon Black Online - DELL : Flipkart.com,54990,"Laptop, battery, adapter, cables and user manuals",New Inspiron 15 Laptop,D560871WIN9B/D560865WIN9B,Inspiron 3520,,Carbon Black,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1235U,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",Intel Integrated UHD,Windows 11 Home,"2 x USB 3.2 Gen 1 ports, 1 x USB 2.0 port",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD WVA AG 120Hz 250 nits Narrow Border,Built-in Speakers,,Intel Wi-Fi 6 2x2 (Gig+),v5.2,358 X 235 x 21.0 mm,1.65 Kg,Not Available,HD Camera,Standard Keyboard,,1 Year Onsite Hardware Service,Onsite,Manufacturing Defects,Accidental Damage
234,ASUS Vivobook 15 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS Thin and Light Laptop Rs.70990  Price in India - Buy ASUS Vivobook 15 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS Thin and Light Laptop Icelight Silver Online - ASUS : Flipkart.com,50990,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1502ZA-EJ515WS,90NB0VX2-M00N20,X1502ZA-EJ515WS,Vivobook 15,Icelight Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1235U,1.3 GHz with Turbo Boost Upto 4.4 GHz,Intel Integrated Iris Xe,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 220nits, 45% NTSC color gamut, Anti-glare display",Yes,Yes,Wi-Fi 6(802.11ax) (Dual band) 2*2,v5.0,359.7 x 232.5 x 19.9 mm,1.7 Kg,Not Available,720p HD camera ; With privacy shutter,Chiclet Keyboard,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
235,HP Pavilion Aero (2023) Ryzen 7 Octa Core 7735U - (16 GB/1 TB SSD/Windows 11 Home) 13-BE2048AU Thin and Light Laptop Rs.91616  Price in India - Buy HP Pavilion Aero (2023) Ryzen 7 Octa Core 7735U - (16 GB/1 TB SSD/Windows 11 Home) 13-BE2048AU Thin and Light Laptop Natural Silver Online - HP : Flipkart.com,77990,"Laptop, battery, power adapter, user guide",13-BE2048AU,7S451PA#ACJ,13-BE2048AU,Pavilion Aero (2023),Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 7 Octa Core,Yes,1 TB,16 GB,LPDDR5,7735U,2.7 GHz upto max turbo frequency at 4.75 Ghz,AMD Radeon AMD,Windows 11 Home,"1 x SuperSpeed USB Type-C 10Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",No,33.78 cm (13.3 Inch),1920 x 1200 Pixel,"WUXGA, IPS, micro-edge, anti-glare, Brightness: 400 nits, 170 ppi, Color Gamut: 100% sRGB",Build-in Dual Speakers,Yes,Realtek Wi-Fi 6 (2x2),v5.3,309 x 205 x 16.9 mm,0.97 Kg,Not Available,HP Wide Vision 720p HD camera,"Full-size, backlit, Natural Silver keyboard",Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
236,ASUS Vivobook Go 15 (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ521WS Thin and Light Laptop Rs.62990  Price in India - Buy ASUS Vivobook Go 15 (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ521WS Thin and Light Laptop Cool Silver Online - ASUS : Flipkart.com,41990,"Laptop, battery, power adapter, user guide",E1504FA-NJ521WS,90NB0ZR1-M00AH0,E1504FA-NJ521WS,Vivobook Go 15 (2023),Cool Silver,Thin and Light Laptop,Processing & Multitasking,Yes,AMD,Ryzen 5 Quad Core,Yes,512 GB,8 GB,LPDDR5,7520U,2.8 GHz upto max turbo frequency at 4.3 Ghz,AMD Radeon AMD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",Built-in Speakers,Yes,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,,1.63 Kg,Not Available,720p HD camera With privacy shutter,Chiclet Keyboard,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
237,APPLE 2022 MacBook Pro M2 - (8 GB/512 GB SSD/Mac OS Monterey) MNEQ3HN/A Rs.149900  Price in India - Buy APPLE 2022 MacBook Pro M2 - (8 GB/512 GB SSD/Mac OS Monterey) MNEQ3HN/A Silver Online - APPLE : Flipkart.com,137990,"MacBook Pro, 67W USB-C Power Adapter, USB-C Charge Cable (2 m)",MNEQ3HN/A,MNEQ3HN/A,MacBook Pro,2022 MacBook Pro,Silver,Thin and Light Laptop,Processing & Multitasking,No,Apple,M2,Yes,512 GB,8 GB,Unified Memory,Apple M2 Chip,,NA,Mac OS Monterey,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,33.78 cm (13.3 Inch),2560 x 1600 Pixel,"Retina display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,Three-mic Array with High Signal-to-noise Ratio and Directional Beamforming,802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 212.4 x 15.6,1.38 Kg,Not Available,720p FaceTime HD camera,Backlit Magic Keyboard,Yes,1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage
238,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511,Inspiron 3000 Thin and Light Laptop Rs.58225  Price in India - Buy DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511,Inspiron 3000 Thin and Light Laptop Carbon Black Online - DELL : Flipkart.com",38499,"Laptop, battery, adapter, cables and user manuals","Inspiron 3511,Inspiron 3000",D560727WIN9B | D560860WIN9BE,Inspiron 3511,Inspiron,Carbon Black,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",Yes,Intel,Core i3,Yes,256 GB,8 GB,DDR4,1115G4,4.1,Intel Integrated UHD Graphics,Windows 11 Home,"2x USB 3.2 Gen1 ,1x USB 2.0",No,96.52 cm (38 cm),1920 x 1080 pixel,"FHD, WVA AG Narrow Border",Yes,Yes,802.11ac,v5.0,358 X 235 X 18.9 mm,1.8 kg,Not Available,HD,English International Non Backlit Keyboard,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage
239,ASUS Vivobook 14 (2023) Core i3 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1404VA-NK322WS Thin and Light Laptop Rs.57990  Price in India - Buy ASUS Vivobook 14 (2023) Core i3 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1404VA-NK322WS Thin and Light Laptop Transparent Silver Online - ASUS : Flipkart.com,45990,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1404VA-NK322WS,90NB10I2-M001T0,X1404VA-NK322WS,Vivobook 14 (2023),Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1315U,Upto 4.50GHz,Intel Integrated Integrated,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,35.56 cm (14 Inch),1920 x 1080 Pixel,"FHD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display,",Built-in Speakers,Built-in Array Digital Microphones,Wi-Fi 6E(802.11ax) (Dual band) 1 x 1,v5.0,324.9 x 213.9 x 17.9 ~ 17.9,1.40 kg,Not Available,720p HD camera With privacy shutter,Chiclet Keyboard,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
240,HP Pavillion x360 convertible Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-ek0074TU 2 in 1 Laptop Rs.87095  Price in India - Buy HP Pavillion x360 convertible Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-ek0074TU 2 in 1 Laptop Natural Silver Online - HP : Flipkart.com,73990,"Laptop, Power Adaptor, User Guide, HP Rechargeable MPP2.0 Tilt Pen, Warranty Documents",14-ek0074TU,6Q0Y9PA#ACJ,Pavillion,Pavillion x360 convertible Intel,Natural Silver,2 in 1 Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business",Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1235U,1.3 GHz upto Max 4.4 GHz,Intel Integrated Iris Xe,Windows 11 Home,"2 x SuperSpeed USB Type-C 10Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",Yes,35.56 cm (14 Inch),1920 x 1080 Pixel,"""Full HD, multitouch-enabled, IPS edge-to-edge glass, micro-edge, Brightness: 150 nits 157 ppi, Color Gamut: 45% NTSC """,Built-in Dual Speakers,Built-in Dual Array Digital Microphones,Intel Wi-Fi 6E AX211 (2x2),v5.2,325 x 216 x 17 mm,1.41 Kg,Not Available,HP True Vision 5MP camera with camera shutter,"Full-size, backlit, Natural Silver keyboard",Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
241,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3381WS Laptop Rs.51990  Price in India - Buy ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3381WS Laptop Indie Black Online - ASUS : Flipkart.com,35990,"Laptop, Adaptor & Manual",X1500EA-EJ3381WS,90NB0TY5-M03EN0,X1500EA,Vivobook 15,Indie Black,Laptop,"Everyday Use, Processing & Multitasking, Performance",Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,i3-1115G4,3.0 Ghz. Turbo Upto 4.1 Ghz.,Intel Integrated UHD,Windows 11 Home,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A",No,39.62 cm (15.6 inch),1920 x 1080 pixel,"(39.62cm)15.6-inch, FHD (1920 x 1080) 16:9, LED Backlit, 60Hz refresh rate, 250nits, NTSC: 45%, Anti-glare display, (Screen-to-body ratio)83%",Built-in speaker Built-in microphone with Cortana support,Yes,Wi-Fi 5(802.11ac) (Dual band) 1*1 + Bluetooth 4.1,5,36.00 x 23.50 x 1.99 ~ 1.99 cm,1.8 kg,Not Available,VGA,"Chiclet Keyboard with Num-key, 1.4mm Key-travel",,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Any Type of Damage
242,ASUS ROG Zephyrus Duo 16 with 90WHr Battery Ryzen 9 16 Core 7945HX - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 4090/240 HZ) GX650PY-NM052WS Gaming Laptop Rs.479990  Price in India - Buy ASUS ROG Zephyrus Duo 16 with 90WHr Battery Ryzen 9 16 Core 7945HX - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 4090/240 HZ) GX650PY-NM052WS Gaming Laptop Black Online - ASUS : Flipkart.com,429990,"Laptop, battery, power adapter, user guide",GX650PY-NM052WS,90NR0BI1-M002Y0,GX650PY-NM052WS,ROG Zephyrus Duo 16 with 90WHr Battery,Black,Gaming Laptop,Gaming,Yes,AMD,Ryzen 9 16 Core,Yes,2 TB,32 GB,DDR5,7945HX,2.5 GHz upto max turbo frequency at 5.4 Ghz,NVIDIA GeForce RTX 4090,Windows 11 Home,"1 x USB 3.2 Gen 2 Type-C support DisplayPort / G-SYNC, 1 x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery / G-SYNC, 2 x USB 3.2 Gen 2 Type-A",No,40.64 cm (16 Inch),2560 x 1600 PIxel,"QHD+ WQXGA, 240Hz, 3ms, 85/85/85/85, Mini LED, 1100, 100000:1, 100, Anti-glare display",6-speaker(dual-force woofer) system with Smart Amplifier Technology,Yes,Wi-Fi 6E(802.11ax) (Triple band) 2*2,v5.2,355 x 266 x 29.7 mm,2.67 Kg,Not Available,FHD 1080P@30FPS,Backlit Chiclet Keyboard Per-Key RGB,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
243,DELL Inspiron Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 7425 Notebook Rs.116363  Price in India - Buy DELL Inspiron Ryzen 7 Octa Core 5825U - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 7425 Notebook Pebble Green Online - DELL : Flipkart.com,88990,"Laptop, battery, adapter, cables and user manuals",Inspiron 7425,D560733WIN9P,Inspiron 7425,Inspiron,Pebble Green,Notebook,Processing & Multitasking,Yes,AMD,Ryzen 7 Octa Core,Yes,512 GB,16 GB,DDR4,5825U,4.5,AMD Radeon Radeon Graphics,Windows 11 Home,"1 x USB 3.2 Gen 2 Type C ( PowerDelivery ), 2 x USB 3.2 Gen 1 Type A",Yes,35.56 cm (14 Inch),1920 x 1080 Pixels,FHD+ WVA Truelife Touch Narrow Border 250 nits,Yes,Yes,MediaTek Wi-Fi 6 MT7921 2x2,v5.2,314 x 178 x 22.7 mm,1.63 Kgs,Not Available,HD,Backlit Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage
244,HP Envy x360 Creator Intel Evo Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15-ew0040TU Thin and Light Laptop Rs.95630  Price in India - Buy HP Envy x360 Creator Intel Evo Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15-ew0040TU Thin and Light Laptop Nightfall Black Online - HP : Flipkart.com,81990,"Laptop, battery, adapter, cables and user manuals",15-ew0040TU,7G6F2PA#ACJ,15-ew0040TU,Envy x360 Creator Intel Evo,Nightfall Black,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,1235U,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",Intel Integrated Iris Xe,Windows 11 Home,"2 x Thunderbolt 4 with USB4 Type-C 40Gbps signaling rate, 1 x SuperSpeed USB Type-A 5Gbps signaling rate, 1 x SuperSpeed USB Type-A 5Gbps signaling rate",Yes,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, multitouch-enabled, IPS, edge-to-edge glass, micro-edge, Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC",Built-in Speakers,,Intel Wi-Fi 6E AX211 (2x2),V5.2,,1.70 Kg,Not Available,HP True Vision 5MP IR camera with camera shutter,"Full-size, backlit, nightfall black Keyboard",,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
245,Lenovo IdeaPad 3 Intel Celeron Dual Core 4th Gen - (4 GB/256 GB SSD/Windows 11 Home) 14IGL05 Thin and Light Laptop Rs.40490  Price in India - Buy Lenovo IdeaPad 3 Intel Celeron Dual Core 4th Gen - (4 GB/256 GB SSD/Windows 11 Home) 14IGL05 Thin and Light Laptop Platinum Grey Online - Lenovo : Flipkart.com,26250,"Laptop, Power Adapter, User Guide, Warranty Documents",14IGL05,81WH007KIN|81WH007YIN,14IGL05,IdeaPad 3 Intel,Platinum Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Celeron Dual Core,Yes,256 GB,4 GB,DDR4,N4020,Max Frequency Up to 2.8 GHz,Intel Integrated UHD,Windows 11 Home,"1 x USB 2.0, 2 x USB 3.2 Gen 1",No,35.56 cm (14 inch),1366 x 768 Pixel,HD TN 220nits Anti-glare,Built-in Dual Speakers,Built-in dual array digital microphones,"11ac, 2x2",v5.0,327.1 x 241 x 19.9 mm,1.5 kg,Not Available,720p with Privacy Shutter,"Non-backlit, English",No,1 Year Onsite�Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty
246,ASUS Vivobook S 14 Intel EVO H-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY541WS Thin and Light Laptop Rs.86990  Price in India - Buy ASUS Vivobook S 14 Intel EVO H-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY541WS Thin and Light Laptop Neutral Grey Online - ASUS : Flipkart.com,59990,"Laptop, battery, power adapter, user guide",S3402ZA-LY541WS,90NB0WE1-M00P80,S3402ZA-LY541WS,Vivobook S 14 Intel EVO H-Series,Neutral Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,16 GB,DDR4,12500H,2.5 GHz with Max Turbo Boost Frequency Up to 4.50 GHz,Intel Integrated Iris Xe,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 2 x Thunderbolt 4 supports display / power delivery",No,35.56 cm (14 Inch),1920 x 1200 Pixel,"WUXGA, 16:10 aspect ratio, LED Backlit, IPS-level Panel, 60Hz refresh rate, 300nits, 45% NTSC color gamut, Anti-glare display",Built-in Speakers,Yes,Wi-Fi 6E(802.11ax) (Dual band) 2*2,v5.0,316.4 x 224.5 x 18.9 mm,1.50 Kg,Not Available,720p HD camera With privacy shutter,Backlit Chiclet Keyboard,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
247,Acer Predator (2023) Core i7 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4070) PH16-71 Gaming Laptop Rs.232999  Price in India - Buy Acer Predator (2023) Core i7 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4070) PH16-71 Gaming Laptop Abyssal Black Online - Acer : Flipkart.com,199990,"Laptop, Power Adaptor, User Guide, Warranty Documents",PH16-71,NH.QJRSI.001,PH16-71,Predator (2023),Abyssal Black,Gaming Laptop,Gaming,No,Intel,Core i7,Yes,1 TB,32 GB,DDR5,13700HX,1.50 GHz up to 5.00 GHz,NVIDIA GeForce RTX 4070,Windows 11 Home,,No,40.64 cm (16 Inch),2560 x 1600 Pixel,"WQXGA with IPS (In-Plane Switching) technology, high-brightness (500 nits) Acer ComfyView LED-backlit TFT LCD, supporting 240 Hz",,Yes,802.11 a/b/g/n/ac/ax wireless LAN,v5.2,,,Not Available,1080p HD video at 60 fps with Temporal Noise Reduction,,Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
248,ASUS Vivobook 15 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS Thin and Light Laptop Rs.70990  Price in India - Buy ASUS Vivobook 15 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS Thin and Light Laptop Icelight Silver Online - ASUS : Flipkart.com,50990,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1502ZA-EJ515WS,90NB0VX2-M00N20,X1502ZA-EJ515WS,Vivobook 15,Icelight Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1235U,1.3 GHz with Turbo Boost Upto 4.4 GHz,Intel Integrated Iris Xe,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 220nits, 45% NTSC color gamut, Anti-glare display",Yes,Yes,Wi-Fi 6(802.11ax) (Dual band) 2*2,v5.0,359.7 x 232.5 x 19.9 mm,1.7 Kg,Not Available,720p HD camera ; With privacy shutter,Chiclet Keyboard,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
249,HP Victus Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) 15-fa0070TX Gaming Laptop Rs.83038  Price in India - Buy HP Victus Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) 15-fa0070TX Gaming Laptop Performance Blue Online - HP : Flipkart.com,62890,"Laptop, Power Adaptor, User Guide, Warranty Documents",15-fa0070TX,6Z2P5PA#ACJ,15-fa0070TX,Victus,Performance Blue,Gaming Laptop,Gaming,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,12450H,"Base Clock 2.0 Ghz, Max Turbo Boost Frequency Up to 4.4 GHz",NVIDIA GeForce GTX 1650,Windows 11 Home,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 1 x SuperSpeed USB Type-A 5Gbps signaling rate, 1 x SuperSpeed USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"""Full HD, 144 Hz, 9 ms response time, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC """,Built-in Dual Speakers,Built-in Dual Array Digital Microphones,Intel Wi-Fi 6E AX211 (2x2),v5.2,357.9 x 239.7 x 22.5 mm,2.37 Kg,Not Available,HP Wide Vision 720p HD camera with temporal noise reduction,"Full-size, backlit, Performance Blue keyboard with numeric keypad",Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
250,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light Laptop Rs.69990  Price in India - Buy ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light Laptop Transparent Silver Online - ASUS : Flipkart.com,42990,"Laptop, Battery, Adapter, Cables and User Manuals",X515EA-EJ522WS,90NB0TY2-M00JP0,X515EA-EJ522WS,Vivobook 15,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1135G7,2.4 GHz upto max turbo frequency at 4.2 Ghz,Intel Integrated Iris Xe,Windows 11 Home,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD 16:9 Aspect ratio, LCD Backlit, 200nits, 45% NTSC Color Gamut, Anti-glare display",Built-in Speaker,Built-in Microphone,Wi-Fi 5(802.11ac) (Dual band) 1x1,v4.1,360 x 235 x 19.9 mm,1.80 kg,Not Available,VGA camera,Chiclet Keyboard with Num-key,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
